DATE,IPB50001N
1924-02-01,6.1469
1924-03-01,6.1469
1924-04-01,5.9254
1924-05-01,5.7039
1924-06-01,5.4270
1924-07-01,5.2055
1924-08-01,5.5378
1924-09-01,5.8977
1924-10-01,6.0361
1924-11-01,5.9808
1924-12-01,5.8146
1925-01-01,6.1469
1925-02-01,6.2853
1925-03-01,6.3684
1925-04-01,6.3961
1925-05-01,6.3961
1925-06-01,6.2853
1925-07-01,6.2853
1925-08-01,6.3961
1925-09-01,6.4792
1925-10-01,6.7007
1925-11-01,6.6453
1925-12-01,6.3684
1926-01-01,6.3961
1926-02-01,6.6176
1926-03-01,6.7561
1926-04-01,6.7284
1926-05-01,6.7284
1926-06-01,6.7284
1926-07-01,6.6176
1926-08-01,6.9499
1926-09-01,7.1991
1926-10-01,7.1991
1926-11-01,6.9499
1926-12-01,6.5069
1927-01-01,6.6176
1927-02-01,6.9499
1927-03-01,7.0883
1927-04-01,6.9499
1927-05-01,6.9776
1927-06-01,6.9222
1927-07-01,6.6176
1927-08-01,6.8391
1927-09-01,6.9222
1927-10-01,6.8114
1927-11-01,6.5069
1927-12-01,6.1746
1928-01-01,6.4515
1928-02-01,6.7561
1928-03-01,6.9222
1928-04-01,6.9222
1928-05-01,6.9776
1928-06-01,6.9776
1928-07-01,6.8668
1928-08-01,7.2268
1928-09-01,7.5036
1928-10-01,7.6421
1928-11-01,7.3929
1928-12-01,6.9776
1929-01-01,7.3929
1929-02-01,7.6975
1929-03-01,7.8082
1929-04-01,8.0297
1929-05-01,8.2236
1929-06-01,8.1405
1929-07-01,7.9744
1929-08-01,8.1128
1929-09-01,8.2789
1929-10-01,8.1405
1929-11-01,7.3929
1929-12-01,6.6453
1930-01-01,6.8391
1930-02-01,7.0883
1930-03-01,7.0329
1930-04-01,7.1160
1930-05-01,7.0883
1930-06-01,6.8114
1930-07-01,6.2853
1930-08-01,6.2577
1930-09-01,6.3684
1930-10-01,6.1469
1930-11-01,5.7039
1930-12-01,5.3162
1931-01-01,5.3439
1931-02-01,5.6485
1931-03-01,5.7870
1931-04-01,5.9254
1931-05-01,5.8700
1931-06-01,5.6485
1931-07-01,5.4270
1931-08-01,5.3162
1931-09-01,5.2886
1931-10-01,5.0394
1931-11-01,4.7902
1931-12-01,4.5133
1932-01-01,4.4856
1932-02-01,4.5686
1932-03-01,4.4579
1932-04-01,4.2641
1932-05-01,4.1256
1932-06-01,3.9872
1932-07-01,3.7380
1932-08-01,3.8764
1932-09-01,4.3471
1932-10-01,4.4579
1932-11-01,4.2641
1932-12-01,4.0149
1933-01-01,4.0149
1933-02-01,4.1533
1933-03-01,3.8764
1933-04-01,4.2364
1933-05-01,4.9563
1933-06-01,5.6762
1933-07-01,6.0361
1933-08-01,5.8700
1933-09-01,5.7593
1933-10-01,5.3439
1933-11-01,4.9286
1933-12-01,4.7902
1934-01-01,4.9563
1934-02-01,5.4270
1934-03-01,5.7039
1934-04-01,5.8146
1934-05-01,5.8977
1934-06-01,5.7870
1934-07-01,5.2609
1934-08-01,5.2886
1934-09-01,5.1778
1934-10-01,5.2609
1934-11-01,5.0947
1934-12-01,5.2886
1935-01-01,5.7870
1935-02-01,6.1192
1935-03-01,6.0915
1935-04-01,6.0085
1935-05-01,6.0085
1935-06-01,6.0085
1935-07-01,5.9254
1935-08-01,6.2577
1935-09-01,6.5069
1935-10-01,6.8114
1935-11-01,6.8114
1935-12-01,6.6453
1936-01-01,6.5069
1936-02-01,6.5069
1936-03-01,6.6176
1936-04-01,7.0883
1936-05-01,7.3098
1936-06-01,7.3375
1936-07-01,7.3375
1936-08-01,7.5867
1936-09-01,7.8913
1936-10-01,8.1128
1936-11-01,8.1405
1936-12-01,8.1405
1937-01-01,7.9190
1937-02-01,8.2512
1937-03-01,8.5835
1937-04-01,8.6389
1937-05-01,8.7496
1937-06-01,8.5004
1937-07-01,8.3620
1937-08-01,8.5004
1937-09-01,8.4451
1937-10-01,7.9190
1937-11-01,6.9499
1937-12-01,6.1469
1938-01-01,5.8700
1938-02-01,5.9254
1938-03-01,6.0085
1938-04-01,5.8700
1938-05-01,5.8146
1938-06-01,5.8146
1938-07-01,6.1192
1938-08-01,6.5899
1938-09-01,6.9776
1938-10-01,7.1714
1938-11-01,7.3098
1938-12-01,7.1160
1939-01-01,7.3098
1939-02-01,7.3098
1939-03-01,7.3098
1939-04-01,7.1714
1939-05-01,7.1991
1939-06-01,7.4483
1939-07-01,7.5867
1939-08-01,7.6975
1939-09-01,8.2789
1939-10-01,8.8050
1939-11-01,9.0542
1939-12-01,8.9988
1940-01-01,8.8604
1940-02-01,8.5004
1940-03-01,8.2789
1940-04-01,8.3343
1940-05-01,8.6112
1940-06-01,8.9712
1940-07-01,8.9988
1940-08-01,9.1096
1940-09-01,9.4142
1940-10-01,9.6357
1940-11-01,9.8849
1940-12-01,10.1618
1941-01-01,10.3833
1941-02-01,10.6048
1941-03-01,10.8817
1941-04-01,10.8263
1941-05-01,11.3524
1941-06-01,11.5462
1941-07-01,11.5739
1941-08-01,11.7677
1941-09-01,11.8785
1941-10-01,12.0446
1941-11-01,12.1277
1941-12-01,12.2661
1942-01-01,12.4876
1942-02-01,12.6538
1942-03-01,12.7645
1942-04-01,12.3492
1942-05-01,12.4046
1942-06-01,12.5153
1942-07-01,12.7368
1942-08-01,13.1798
1942-09-01,13.4844
1942-10-01,13.9551
1942-11-01,14.2874
1942-12-01,14.5920
1943-01-01,14.7581
1943-02-01,15.1181
1943-03-01,15.2842
1943-04-01,15.4503
1943-05-01,15.5888
1943-06-01,15.5888
1943-07-01,15.8933
1943-08-01,16.2533
1943-09-01,16.5856
1943-10-01,16.8348
1943-11-01,17.0009
1943-12-01,16.7517
1944-01-01,17.0840
1944-02-01,17.3055
1944-03-01,17.3332
1944-04-01,17.3332
1944-05-01,17.3055
1944-06-01,17.3332
1944-07-01,17.0840
1944-08-01,17.2501
1944-09-01,17.0009
1944-10-01,17.0009
1944-11-01,16.8625
1944-12-01,16.7517
1945-01-01,16.7794
1945-02-01,16.8348
1945-03-01,16.7794
1945-04-01,16.5025
1945-05-01,16.1426
1945-06-01,15.8380
1945-07-01,15.2842
1945-08-01,13.6506
1945-09-01,12.3769
1945-10-01,11.8231
1945-11-01,12.2661
1945-12-01,12.2384
1946-01-01,11.7123
1946-02-01,11.1863
1946-03-01,12.3769
1946-04-01,12.1277
1946-05-01,11.6847
1946-06-01,12.4876
1946-07-01,12.7645
1946-08-01,13.2352
1946-09-01,13.4844
1946-10-01,13.6506
1946-11-01,13.7059
1946-12-01,13.6782
1947-01-01,13.9551
1947-02-01,14.2320
1947-03-01,14.2874
1947-04-01,14.0105
1947-05-01,13.9274
1947-06-01,14.0382
1947-07-01,13.2352
1947-08-01,14.2320
1947-09-01,14.5920
1947-10-01,15.0073
1947-11-01,14.8965
1947-12-01,14.6197
1948-01-01,14.7027
1948-02-01,14.8689
1948-03-01,14.6474
1948-04-01,14.5089
1948-05-01,14.6197
1948-06-01,14.8965
1948-07-01,14.2320
1948-08-01,15.0627
1948-09-01,15.3119
1948-10-01,15.6442
1948-11-01,15.1181
